"date","count"
"2021-01-08",1
"2021-01-09",1
"2021-01-10",1
"2021-01-11",2
"2021-01-14",1
"2021-01-30",2
"2021-01-31",1
"2021-02-01",1
"2021-02-05",1
"2021-02-17",1
"2021-02-20",3
"2021-02-21",1
"2021-02-22",1
"2021-02-23",1
"2021-02-25",3
"2021-02-26",10
"2021-02-27",3
"2021-02-28",2
"2021-03-01",1
"2021-03-02",2
"2021-03-03",10
"2021-03-04",14
"2021-03-06",4
"2021-03-07",3
"2021-03-08",14
"2021-03-09",12
"2021-03-10",8
"2021-03-11",20
"2021-03-12",9
"2021-03-14",3
"2021-03-15",65
"2021-03-16",7
"2021-03-17",2
"2021-03-20",1
"2021-03-21",17
"2021-03-22",6
"2021-03-23",1
"2021-03-24",18
"2021-03-25",63
"2021-03-26",99
"2021-03-27",184
"2021-03-28",121
"2021-03-29",116
"2021-03-30",154
"2021-03-31",89
"2021-04-01",174
"2021-04-02",112
"2021-04-03",11
"2021-04-04",3
"2021-04-05",51
"2021-04-06",19
"2021-04-07",10
"2021-04-08",6
"2021-04-09",14
"2021-04-10",259
"2021-04-11",343
"2021-04-12",167
"2021-04-13",15
"2021-04-14",11
"2021-04-15",6
"2021-04-16",2
"2021-04-17",1
"2021-04-18",2
"2021-04-19",5
"2021-04-20",2
"2021-04-21",4
"2021-04-22",17
"2021-04-23",8
"2021-04-24",2
"2021-04-25",20
"2021-04-26",4
"2021-04-27",2
"2021-04-28",47
"2021-04-29",21
"2021-04-30",32
"2021-05-01",5
"2021-05-03",2
"2021-05-04",16
"2021-05-05",19
"2021-05-06",7
"2021-05-08",1
"2021-05-09",2
"2021-05-10",35
"2021-05-11",36
"2021-05-12",15
"2021-05-13",8
"2021-05-14",1
"2021-05-15",16
"2021-05-16",5
"2021-05-17",2
"2021-05-18",5
"2021-05-20",2
"2021-05-21",1
"2021-05-22",12
"2021-05-23",3
"2021-05-24",5
"2021-05-25",5
"2021-05-26",10
"2021-05-27",8
"2021-05-28",5
"2021-05-29",10
"2021-05-30",1
"2021-06-02",1
"2021-06-04",1
"2021-06-05",1
"2021-06-06",2
"2021-06-07",10
"2021-06-08",4
"2021-06-09",6
"2021-06-10",7
"2021-06-11",4
"2021-06-12",6
"2021-06-13",1
